District,Block,Population,Literacy_Rate,Rural_Percentage,No_of_Schools,Dropout_Rate,Lat,Long
Chennai,Block_0,261408,84.0,24,145,7.0,13.1724,76.8908
Ramanathapuram,Block_1,484261,72.5,38,106,11.5,9.7327,78.5082
Kanchipuram,Block_2,406308,65.5,60,159,9.0,10.4043,79.4943
Pudukkottai,Block_3,206445,80.0,5,114,10.2,10.4366,79.77
Coimbatore,Block_4,240485,85.8,6,101,8.4,9.1219,79.361
Chennai,Block_5,123533,87.5,24,32,9.4,12.7276,79.4141
Krishnagiri,Block_6,224717,83.8,41,37,11.2,10.5386,78.8492
Krishnagiri,Block_7,124950,84.0,66,150,7.7,9.2562,77.5418
Nagapattinam,Block_8,406906,78.8,10,172,5.1,8.6214,79.3301
Cuddalore,Block_9,303203,84.6,45,71,4.6,11.3447,80.0723
Virudhunagar,Block_10,183178,76.2,69,189,9.2,9.7914,78.0494
Viluppuram,Block_11,143487,79.7,74,174,13.4,11.2303,80.339
Dindigul,Block_12,344952,65.4,67,32,12.3,9.5877,80.3864
Erode,Block_13,346164,69.0,77,187,5.5,11.2302,76.4714
Ramanathapuram,Block_14,435580,72.5,0,125,8.3,10.3007,76.0878
Trichy,Block_15,110725,89.5,75,51,4.5,9.0726,79.8132
Chennai,Block_16,427984,80.5,39,116,6.3,8.8767,79.7506
Tiruvarur,Block_17,245664,72.1,9,149,11.0,9.1014,79.6625
Coimbatore,Block_18,393662,74.0,61,101,14.2,11.24,79.8585
Trichy,Block_19,308151,83.0,52,88,11.3,11.5995,76.9016
Tirunelveli,Block_20,370928,91.0,38,52,3.4,11.5773,80.4801
Sivagangai,Block_21,366901,82.0,24,26,14.6,10.0428,76.1106
Dindigul,Block_22,293378,86.5,30,137,7.4,8.7847,76.2604
Erode,Block_23,87409,76.2,77,93,8.4,8.9127,80.0024
Nilgiris,Block_24,439291,74.8,29,108,13.9,11.2342,80.414
Vellore,Block_25,284680,65.7,9,45,10.9,12.0189,78.3886
Pudukkottai,Block_26,112160,66.7,74,116,4.9,12.7465,78.1129
Vellore,Block_27,90117,71.9,56,26,3.9,12.9309,80.1716
Erode,Block_28,378007,68.8,34,143,6.2,12.7949,78.307
Tiruppur,Block_29,269808,79.2,47,80,6.8,9.6894,79.4915
Cuddalore,Block_30,281258,69.4,24,61,5.4,8.4489,76.0173
Dindigul,Block_31,329446,69.5,29,89,11.9,12.3768,79.2413
Dindigul,Block_32,494994,84.5,78,56,4.9,12.6156,78.6372
Chennai,Block_33,452157,82.0,35,87,7.5,10.5054,77.8709
Madurai,Block_34,204148,73.6,68,199,12.8,8.0796,78.6542
Ariyalur,Block_35,275808,77.3,20,70,4.1,9.6616,79.1862
Chennai,Block_36,441506,78.9,52,160,4.3,8.0879,77.6739
Ramanathapuram,Block_37,172385,72.0,1,28,4.0,11.4451,78.3596
Madurai,Block_38,207726,90.7,46,69,5.9,9.3938,76.8956
Kanchipuram,Block_39,277994,71.6,71,27,8.0,11.7776,79.7183
Virudhunagar,Block_40,437812,66.0,54,134,4.7,11.8861,79.6804
Karur,Block_41,443915,69.8,18,147,8.0,10.6728,79.7814
Karur,Block_42,443764,89.6,60,153,9.5,10.7041,78.6403
Kanchipuram,Block_43,399060,90.7,62,99,11.3,10.8663,77.6312
Ariyalur,Block_44,296006,77.1,72,57,5.3,9.2075,78.1594
Thoothukudi,Block_45,144330,84.3,7,29,4.9,9.8164,77.9944
Erode,Block_46,481382,83.1,47,44,6.7,10.5491,80.2249
Krishnagiri,Block_47,326692,77.1,76,77,6.1,9.2394,79.0876
Salem,Block_48,315574,89.3,14,39,8.6,9.5343,76.3081
Tiruppur,Block_49,401390,75.7,65,42,14.5,11.2044,78.3869
Ariyalur,Block_50,99923,79.7,72,68,11.1,10.8036,79.0241
Dindigul,Block_51,353112,65.2,44,38,3.7,13.2662,79.8957
Erode,Block_52,116226,67.6,58,79,9.2,12.273,77.2009
Salem,Block_53,201469,79.2,9,114,14.9,11.6732,77.5247
Nilgiris,Block_54,278066,69.9,34,143,3.1,12.4066,76.8602
Pudukkottai,Block_55,137094,80.7,27,138,5.7,9.224,76.8693
Theni,Block_56,50765,88.1,33,147,12.2,9.4064,80.3601
Vellore,Block_57,73262,79.0,64,34,12.3,12.9536,79.0185
Kanchipuram,Block_58,388725,65.4,17,36,14.2,11.3779,78.1833
Viluppuram,Block_59,162102,72.4,36,97,4.6,10.1923,80.2043
Tiruvarur,Block_60,166904,70.5,66,41,3.2,11.5626,80.4271
Nilgiris,Block_61,157504,72.0,8,145,4.9,8.5348,78.6145
Cuddalore,Block_62,316146,74.5,4,40,13.8,12.6741,79.3747
Virudhunagar,Block_63,317919,75.6,38,51,12.4,11.2987,76.715
Nagapattinam,Block_64,271379,74.0,46,98,14.4,12.1096,79.3192
Tiruvarur,Block_65,298443,84.3,49,77,8.6,12.1058,79.3615
Viluppuram,Block_66,202652,78.2,76,175,10.6,11.5745,77.0682
Tiruppur,Block_67,76523,66.0,4,128,9.9,10.9094,78.817
Salem,Block_68,422062,76.9,76,156,10.6,13.154,80.1119
Thoothukudi,Block_69,465923,82.4,40,32,4.8,12.6627,76.1764
Sivagangai,Block_70,450298,88.2,16,92,7.9,10.3428,76.0197
Tiruvarur,Block_71,450375,69.9,56,38,13.4,8.3023,77.25
Tiruvallur,Block_72,268197,65.7,57,102,4.1,9.0957,79.3346
Cuddalore,Block_73,415068,78.0,42,174,6.2,11.6798,79.8666
Kanchipuram,Block_74,413585,69.2,11,74,6.5,9.0684,79.3747
Vellore,Block_75,331065,87.6,63,154,6.2,13.2852,78.8347
Dindigul,Block_76,309230,80.8,54,50,11.2,8.5044,77.1135
Perambalur,Block_77,350437,82.4,63,133,6.0,11.8609,77.9405
Virudhunagar,Block_78,335587,77.6,20,29,12.9,12.221,78.0152
Salem,Block_79,385510,81.0,49,138,14.5,12.4049,76.1953
Erode,Block_80,79598,73.6,1,108,10.0,11.6737,77.1604
Virudhunagar,Block_81,487722,75.9,1,128,11.6,8.3136,79.7951
Cuddalore,Block_82,89087,85.8,24,183,7.1,10.137,80.4677
Theni,Block_83,298594,71.5,77,26,4.8,12.7828,80.0209
Ariyalur,Block_84,399463,70.4,33,131,5.3,11.8215,79.0602
Theni,Block_85,412204,75.5,9,72,12.6,11.7069,79.8986
Madurai,Block_86,76165,90.1,44,152,3.3,11.3269,76.3903
Viluppuram,Block_87,391284,88.6,46,44,8.8,8.5056,78.535
Tiruvarur,Block_88,318124,86.2,44,144,12.4,13.4692,79.2592
Kanchipuram,Block_89,64381,81.3,46,66,12.9,9.9306,78.0433
Virudhunagar,Block_90,278366,67.6,61,188,13.6,12.5084,76.8319
Ariyalur,Block_91,460658,89.9,15,24,12.0,9.3206,76.7707
Nilgiris,Block_92,484210,65.1,19,48,9.0,12.1826,77.9069
Thoothukudi,Block_93,289697,74.9,74,106,14.7,9.9063,79.8966
Vellore,Block_94,77362,86.3,60,163,13.0,10.2635,78.5077
Chennai,Block_95,427355,69.6,53,119,6.8,13.3932,79.4474
Erode,Block_96,290670,84.4,68,29,5.8,13.4382,79.9289
Virudhunagar,Block_97,262869,83.5,17,61,11.5,13.0848,77.2562
Sivagangai,Block_98,161809,66.7,33,43,9.2,11.4396,79.498
Tiruvarur,Block_99,106591,91.5,28,154,9.1,12.123,76.1443
Ariyalur,Block_100,154647,70.3,35,200,12.2,11.7845,78.8267
Thoothukudi,Block_101,438421,82.3,67,20,8.5,10.295,76.9704
Nilgiris,Block_102,104416,79.2,27,172,8.1,12.8894,78.6102
Tiruppur,Block_103,343797,91.4,57,78,11.2,8.715,76.1231
Thoothukudi,Block_104,198871,87.1,7,169,12.7,10.2831,79.9114
Tiruppur,Block_105,229744,73.7,22,93,14.4,9.6176,79.7262
Trichy,Block_106,248709,67.1,67,109,12.9,11.9198,79.9375
